iso_code,date,indicator,value
USA,2020-10-08,Weekly new hospital admissions,31385.0
USA,2020-10-08,Weekly new hospital admissions per million,94.273
USA,2020-10-09,Daily ICU occupancy,8723.0
USA,2020-10-09,Daily ICU occupancy per million,26.202
USA,2020-10-09,Daily hospital occupancy,31206.0
USA,2020-10-09,Daily hospital occupancy per million,93.736
USA,2020-10-09,Weekly new hospital admissions,32250.0
USA,2020-10-09,Weekly new hospital admissions per million,96.872
USA,2020-10-10,Daily ICU occupancy,8730.0
USA,2020-10-10,Daily ICU occupancy per million,26.223
USA,2020-10-10,Daily hospital occupancy,30982.0
USA,2020-10-10,Daily hospital occupancy per million,93.063
USA,2020-10-10,Weekly new hospital admissions,32788.0
USA,2020-10-10,Weekly new hospital admissions per million,98.488
USA,2020-10-11,Daily ICU occupancy,8819.0
USA,2020-10-11,Daily ICU occupancy per million,26.49
